true_label,xgb_prob,tabnet_prob,hybrid_stacking_prob,fold_auc,fold_ap,fold_f1,fold_brier
0,0.036700647324323654,0.08810015022754669,0.04621866719443426,0.8614960100615838,0.7322466319886721,0.6800804828973843,0.10887004454470244
1,0.8550226092338562,0.8243156671524048,0.7299694999869257,0.8501536885245902,0.7034705116795718,0.6394557823129252,0.11725160760991474
1,0.6070957779884338,0.7738925218582153,0.5962857387280733,0.8578476017000606,0.7144168165035473,0.6424344885883349,0.11547548917680564
0,0.06231525167822838,0.23362307250499725,0.08408436896302482,0.8670038598317287,0.7278182984568562,0.6636029411764706,0.11388435710265546
0,0.09243017435073853,0.16975125670433044,0.06666491600997164,0.8267429443792556,0.6914174660297634,0.6331360946745562,0.12283409943301411
0,0.05602211877703667,0.2665559947490692,0.0927844416676688,,,,
0,0.028237659484148026,0.10986188799142838,0.04905441159348081,,,,
0,0.017857300117611885,0.13530850410461426,0.056844088831102285,,,,
0,0.12921766936779022,0.24061991274356842,0.08926362593920666,,,,
0,0.010899432934820652,0.027169780805706978,0.035891159008163316,,,,
0,0.17374509572982788,0.29468023777008057,0.12038050468098573,,,,
1,0.1117275208234787,0.16730445623397827,0.06913321816373538,,,,
1,0.8242793083190918,0.8407281637191772,0.7367661816175445,,,,
1,0.9652239680290222,0.8264891505241394,0.7730666394353877,,,,
0,0.2807728350162506,0.4097552001476288,0.19736612337717516,,,,
1,0.4473116099834442,0.4098779261112213,0.2478434245239426,,,,
0,0.0706590861082077,0.21446159482002258,0.08004532330317739,,,,
0,0.14640752971172333,0.0887148380279541,0.055591358558054194,,,,
0,0.035417743027210236,0.2775554955005646,0.09330390199279215,,,,
0,0.918472409248352,0.9827730655670166,0.8434999792054916,,,,
0,0.04700140655040741,0.06990509480237961,0.047409746933332886,,,,
0,0.09671425074338913,0.156329944729805,0.06940394835435927,,,,
0,0.035603560507297516,0.14815154671669006,0.057403052329044794,,,,
1,0.8796117305755615,0.9162412285804749,0.8135484757852299,,,,
0,0.18214836716651917,0.4976213276386261,0.2172069766189066,,,,
1,0.7563140988349915,0.8936900496482849,0.7414412626818024,,,,
1,0.4452751576900482,0.49332529306411743,0.3040419639241372,,,,
0,0.11440718919038773,0.182538703083992,0.0731808077607604,,,,
1,0.8913946747779846,0.9299336671829224,0.804110840342562,,,,
0,0.18654103577136993,0.32289832830429077,0.1339027960264307,,,,
0,0.1432744264602661,0.3100718855857849,0.12146740295954436,,,,
0,0.019137490540742874,0.01452393177896738,0.0347537321257958,,,,
0,0.07537464052438736,0.2603767514228821,0.0932227022770492,,,,
0,0.04831940308213234,0.2081323266029358,0.07562197440055965,,,,
1,0.2598660886287689,0.5564461946487427,0.28856715816733974,,,,
1,0.9411450028419495,0.8156567811965942,0.758593964964955,,,,
0,0.4433681070804596,0.6835372447967529,0.4500908534951158,,,,
0,0.39083555340766907,0.4504126012325287,0.24634413276630504,,,,
0,0.20887570083141327,0.4087614119052887,0.17004925372606045,,,,
1,0.2847784161567688,0.8917089104652405,0.5657729732221467,,,,
0,0.06050749495625496,0.21443518996238708,0.07984963213362067,,,,
0,0.5630686283111572,0.5024484992027283,0.35510357327182734,,,,
0,0.062460992485284805,0.19291025400161743,0.07351124734272231,,,,
1,0.9663311839103699,0.9319407343864441,0.8361320000147692,,,,
0,0.09060083329677582,0.3781789243221283,0.13689569701300242,,,,
1,0.390337735414505,0.5011497139930725,0.2925656869806758,,,,
1,0.27202123403549194,0.40565019845962524,0.19414823087492575,,,,
0,0.09966661036014557,0.20961079001426697,0.08212064064395494,,,,
0,0.13551859557628632,0.22222009301185608,0.0849417123306839,,,,
0,0.16512401401996613,0.3436583876609802,0.13851966770774424,,,,
0,0.02719501219689846,0.06316355615854263,0.04699051415792235,,,,
0,0.08264964073896408,0.15593299269676208,0.06904325849411552,,,,
0,0.30713731050491333,0.4455364942550659,0.22498708069629314,,,,
0,0.24025633931159973,0.5125669836997986,0.249995226802005,,,,
1,0.9106736183166504,0.8468801379203796,0.7750528779792942,,,,
0,0.022758418694138527,0.08776047080755234,0.0485458541036782,,,,
0,0.3411286473274231,0.42628684639930725,0.2156640375047303,,,,
0,0.38016650080680847,0.4368322193622589,0.234120663248253,,,,
1,0.9462761878967285,0.9541480541229248,0.8357226545173668,,,,
0,0.053668901324272156,0.08174613118171692,0.0506941756881825,,,,
0,0.10073468834161758,0.2957056164741516,0.10878586324854318,,,,
0,0.38589730858802795,0.3918565809726715,0.21325008332158235,,,,
0,0.5887724161148071,0.5966773629188538,0.4375201296191211,,,,
0,0.2804544270038605,0.5881311893463135,0.32084604776361003,,,,
0,0.06070699915289879,0.11923899501562119,0.05344035307974816,,,,
1,0.7482281923294067,0.816150426864624,0.7069986129843395,,,,
0,0.12448649108409882,0.2887416183948517,0.11009326580426579,,,,
0,0.1257433444261551,0.19180332124233246,0.08049695614723573,,,,
0,0.06069036200642586,0.14030411839485168,0.06342252978918657,,,,
0,0.4211915135383606,0.41639581322669983,0.23399052972377696,,,,
